,WV,FL,IL,MN,MD,RI,ID,NH,NC,VT,CT,DE,NM,CA,NJ,WI,OR,NE,PA,WA,LA,GA,AL,UT,OH,TX,CO,SC,OK,TN,WY,HI,ND,KY,ME,NY,NV,AK,MI,AR,MS,MO,MT,KS,IN,SD,MA,VA,DC,IA,AZ
2009-12-01,-2.4561887677659766,-4.788420195222254,-4.587736397524022,-3.540374949554248,-2.5544323483670195,-3.2210526315789467,-4.449722882026919,-2.724710303789535,-5.003088326127236,-2.667984189723327,-3.947211984306276,-4.25035030359645,-4.094337363821376,-5.043020872966608,-2.8526069097598583,-4.336014676827549,-4.735176449513345,-2.7728918779099776,-2.7987251606610974,-4.262961707895629,-3.220495935795864,-4.602717984326954,-4.449743771880865,-4.590137297912101,-4.71667586653216,-3.4800052741622567,-4.547023295944785,-4.931186566767643,-4.301741771524192,-4.527913558013907,-5.72672471533825,-3.597359735973593,0.08138903960932531,-3.1827742721133645,-2.6112662177697477,-2.494565779939961,-7.145211801549367,-0.958268933539419,-5.334911125902919,-2.860748843079508,-3.829108314128704,-3.5047151064060422,-2.777777777777779,-4.389574759945125,-4.1085003455425095,-2.3902439024390265,-2.538163868490817,-2.872685371278505,0.2704626334519622,-3.1743932279611142,-6.235738453064754
2010-01-01,-2.2727272727272707,-3.845013077358639,-3.7296961754664126,-3.0643136675773452,-2.0135277788638217,-2.3339698705707623,-4.223324268117102,-2.7145771222344184,-3.8520223117136543,-1.7910447761193993,-4.286482931786939,-3.923872180451138,-3.4857073935592786,-4.351278065979014,-2.6897773279352277,-3.489904205690686,-3.8871813415295553,-2.514024516933311,-2.2568775188365198,-3.8622520161976426,-2.891429162571757,-3.984292931819311,-3.3887861983980305,-3.553257836861967,-3.7337786992244437,-2.7153691027352655,-4.393604575588206,-3.6084969077708973,-3.7547558161292405,-3.3333333333333437,-4.827819041188386,-2.7474346242965964,0.6546644844517058,-2.232917342884333,-2.0458670186437877,-1.907051467273846,-6.546426185704735,0.031142946122697523,-2.9083000354053867,-2.653820148749164,-3.1869309051955064,-3.174199178271464,-1.451947453330249,-4.21403229309969,-2.711022492741455,-2.422907488986792,-1.2111896710728542,-2.348431679533558,0.05672149744753163,-2.6538077818423766,-5.351542339910287
2010-02-01,-2.071170419794266,-3.1215615958270493,-3.0874904600013853,-2.606274364210126,-3.002744021952175,-2.0238602471239875,-2.972536348949917,-2.14917825537293,-3.4833127939438158,-1.7287234042553168,-3.8362250105061,-4.131255901794139,-2.816559426975851,-3.6432766405268713,-2.6464164169248794,-2.9087261785356033,-3.0885214007782102,-2.053366687513025,-2.1478916562670203,-3.327393598793771,-2.807708246995444,-3.3882507053607402,-2.834238427721747,-3.072095135849373,-3.3470946832317328,-2.1039698262724893,-3.2465543644716655,-2.8063712211507164,-3.3761352959599145,-2.755346194107977,-4.013605442176871,-2.5803229565506958,0.871697085262868,-2.148481439820027,-1.5938900879959972,-1.6073891225996229,-5.672322106862504,-0.3107520198881275,-2.9548674357417593,-2.591682899974601,-2.7271911725127884,-2.7234228971962593,-1.4563106796116498,-3.771661569826723,-2.135819845179443,-2.086401570937657,-1.1584914961794368,-2.493224932249327,-0.2842928216062579,-2.327597705748974,-4.387443802183677
2010-03-01,-0.9216589861751223,-2.3877902683186902,-2.4116794439690614,-1.9162526614620146,-1.2170625073850916,-1.2435677530017064,-2.05011389521641,-1.2080750278175234,-2.3897711705312408,-0.9024064171123003,-3.1055525345900503,-2.6615969581749055,-1.9456681350954574,-2.999781337123486,-2.0003576629282427,-2.1351029682259104,-2.025658338960157,-1.7149430095158347,-1.1674597137954823,-2.4508957851496427,-1.8750000000000044,-2.5733336713738786,-2.039860540146743,-2.236076475477977,-2.578941235872123,-1.2270232473491127,-2.4846909555487073,-2.008185538881302,-2.5510204081632626,-1.8538754286145043,-3.252310852447793,-2.1717340461075874,1.5283842794759916,-1.114316420612027,-0.8514190317195358,-0.9889815816724212,-4.699248120300748,0.031152647975085657,-2.3757989356013254,-1.5843270868824422,-1.7271000994665053,-2.118597393060395,-0.23315458148752688,-3.0140803754766687,-1.2261242425316232,-1.4056720098643671,-0.693391115926334,-1.4787581699346464,0.9141551206970355,-1.5428993090494392,-3.564492636348915
2010-04-01,-0.2529866479269116,-1.5771309142409207,-1.373650564429496,-0.9618636107458167,-0.34354762280841555,-0.6689684937418949,-1.1309621373545298,-0.7345895879910636,-1.4352845030135786,0.5718129835183383,-1.544377975827127,-1.3406751256882843,-1.193552356343064,-1.7504898758981091,-1.068694445871654,-0.9565375522822439,-1.1179050089555886,-0.7888923950773119,-0.2863342107135347,-1.4718674971293422,-1.1275435284245905,-1.9219494787285574,-1.4831836223104133,-1.090604026845643,-1.4377215834525003,-0.4048270810039667,-1.6207815275310788,-0.8176480272183428,-1.498317567138585,-0.6304356082184492,-1.694329183955734,-1.4110532504619466,3.2178217821782207,-0.22723399420553347,-0.7849031396125472,0.2028611632270083,-3.2601176063645876,0.6240249609984483,-1.4836795252225476,-0.9744422600222347,-0.7814629713766341,-1.528352037802716,-0.39608574091332116,-1.6575403285481793,0.021456925222618217,0.0,-0.09323429779034553,-0.3695592663564229,2.41726618705036,-0.7284500202347166,-2.4926446551160497
2010-05-01,1.6020236087689765,-0.6621237619665044,-0.7787529357749512,-0.7749313471015484,-0.06317119393558501,-0.38826574633304967,-0.4274206805852221,-0.5894535606181361,-0.7625578955449241,-0.0670465973851786,-1.0856306416199057,-1.1227902532250478,-0.8126077320856906,-1.1370457509124687,-0.9214815575348423,-0.8118537935051795,-0.5136774353261542,-0.5681818181818121,0.23856150970267276,-1.0483056455264261,-0.6922955892379568,-1.0562659846547362,-0.5605909781526752,-0.5631671850046316,-0.8108320869085972,0.38923283463880853,-1.0888888888888837,0.1320567844173004,-0.6751592356687874,0.24365173030800324,-1.6201309893140503,-0.8763060330299832,2.3692810457516256,0.35821913913685055,-0.3841656923334047,0.5225296998383255,-2.36624619399739,0.9360374414976613,-0.3198184256679948,0.3610108303248927,-0.15467200436719564,-1.2170310361410142,0.13982754602654968,-1.0904235590831424,0.7349514215035935,-0.6183527083848617,0.5040918567383423,0.10119796510037471,2.409984220341399,-0.5739365293720433,-1.6118448035435828
2010-06-01,0.19618834080716852,-0.4969270804495829,-0.5051937462332012,-0.2609978439308436,0.05532940758010696,-0.3674086881348626,-1.1814899901542386,-0.5759999999999987,-0.5162052493708047,0.3371544167228624,-0.9984074482420668,-0.3127255232138637,-0.2716049382716079,-0.8012642785849011,-0.7209248435850579,-0.3803115629342546,-0.018625442354247568,-0.03165224730955485,0.5371834454696245,-0.7655468941168087,0.015793629902605133,-0.83887021882455,-0.25248540318763,-0.24456063417100937,-0.2632568634825194,0.6780777464570509,-0.7235049796793236,0.29850746268658135,-0.2426409552391262,0.6050626124918468,-0.5235602094240788,-1.3122476446837061,2.12418300653594,0.6783332383286877,-0.5207458424323685,0.5269520109850045,-2.0026235242676105,1.5620118712902142,0.7344323775295036,1.1197243755383335,0.2097391938719939,-1.1973606168445894,-0.2795899347623476,-0.4247708473060663,0.9367343997694233,0.024826216484608032,0.36826665002185344,0.2327874240017458,2.447752648153445,-0.41339116291677636,-1.5491739112521108
2010-07-01,1.0299097065462837,-0.1222358039782212,-0.5390979450226929,-0.18932939528191195,0.37317876851006293,0.6533101045296252,-0.31384208787578194,0.14492753623187582,-0.15977322509985736,1.4561462919065349,-0.15392193079669658,0.5554213957980947,-0.3092911047878233,-0.22486975711272228,-0.6536116565051153,0.11383666274971116,-0.38499751614505806,-0.14743049705139288,0.6942083698627588,-0.4460679287696223,-0.41631534569982476,-0.22679243337971888,-0.15796956453056898,0.3898635477582735,0.13540961408260443,0.8609548241650389,-0.28235926855502136,0.7199424046076208,-0.14080000000000759,0.7286673058485071,-0.45646067415731073,-0.32159783344617443,2.590673575129543,0.43959808175382253,-0.21896580764697582,0.03039513677811634,-1.486106225817807,1.902089179918942,1.3415111575101113,0.689179875947632,0.22835221044938958,-0.9406603212373521,0.11684973124561626,-0.17929179740026058,1.80457109793144,-0.04957858205254517,0.8676585747846355,0.6291381631363446,1.9004396539497925,-0.2175834636567675,-1.5252976190476053
2010-08-01,0.8888261851015988,0.23833749146306982,0.17126953543138423,0.2202726823895773,0.43293482146404827,0.9586056644880214,-0.06621420294652403,0.032195750160957104,0.010326844632624343,0.5727762803234393,0.09865581452708216,0.7984514880232219,-0.7793171697179524,0.0427275592757459,-0.7703045029209488,0.46768550911433504,0.31175957101883256,0.2535389816184175,0.9976893729065628,-0.3061224489795844,-0.4425478109688519,0.007758955127390443,-0.015852885225120517,0.44957163457459703,0.2874251497005931,1.2419395686816825,-0.0359534402948114,0.9433962264151052,0.006420133538775907,0.8526327917963039,0.3878702397743128,-0.3562945368171033,2.8922237380627713,0.40548258138206617,-0.3037462031724725,-0.07262419322722202,-1.2180052956751952,1.7784711388455499,0.9289218244442177,0.844900422450201,0.11904761904761862,-0.2788933511825076,0.3040935672514733,0.1273312860459841,0.7481745260961903,0.47287207565953615,0.9334669840872056,0.5221071143964195,0.41088126948145565,-0.3600298892738274,-1.2242695883134092
2010-09-01,1.177806158649064,0.18016004915994976,0.3341015883225218,0.64171122994654,0.561171694658924,0.6309834638816403,-0.1824212271973491,-0.1767920282867319,-0.08526030228652726,1.2195121951219523,-0.043135321666254445,0.9445386292080471,-1.203026168919752,0.35005342180736143,-0.942248453314698,0.44210293630033703,0.17471608635968305,0.21168501270110163,0.90674503619812,-0.21491738012191508,-0.4533951919021506,0.1867462067176806,0.021194298733639982,0.44105173876165527,0.41645080301278004,1.361061550011189,-0.13495883755454408,1.0412606492566256,0.1159420289855051,0.9845775162493631,0.7039774727208625,0.06815471119441252,2.85403642294102,0.6391234877881624,-0.21870794078061584,0.5264025625323798,-1.7053989573208361,1.902089179918942,1.0576497251673755,0.6394745938472113,0.3028078546522206,-0.46967607261341193,0.2576112412178144,-0.2778194924162869,0.999675195784766,0.24863252113376255,0.8109969939879891,0.7054479318801876,2.393235884207523,-0.45519396698145975,-1.0880440220110255
2010-10-01,1.590231435467837,0.8229761504870758,0.887981810695182,0.7834784923743898,0.8994308910733606,0.4569190600522077,0.09910802775026095,0.2091040694868873,0.9687053629398923,1.792357118701382,0.5748902763182295,0.5324298160696905,-0.42335948200722395,0.47037545915933343,-0.46971505683292003,0.7807608735682869,0.9635840320360245,0.4024997351975479,1.202099643490584,0.412683855948659,0.026467630088400362,0.5971544293280617,0.6053847379321464,0.977558653519206,0.8874618590830163,1.9347662767213558,0.3921038399134602,1.320260709709764,1.0473912200168023,1.2954562927654178,1.6306274370790463,0.4770017035774954,3.9151712887438794,1.0730593607305883,0.06739679865206405,1.136296593470143,-0.8353328001421745,1.8985371926548256,1.2901883258765956,0.8925476603119487,1.0044231478068433,-0.03739156446305181,0.23402761525859184,0.5874378671486546,1.4470265588914621,0.9229234222998262,1.3445746881464382,0.9727197575089663,1.9641332194705319,0.340622658219214,-0.18820577164366803
